S/N,HCP CODE,NAME,ADDRESS,TYPE OF SERVICE,LGA,STATE,
1159,ED/0012,University Of Benin Teaching Hospital,Benin,"Inte. Med.,O & G Gen. Surgery, Physiotheraphy, Dental, Paediatric, Radiology, Pharmacy,",Egor,Edo,
1160,ED/0013,St. Mary Hospital,62 Textile Mill Road,"Pharmacy, Laboratory",Egor,Edo,
1161,ED/0015,"District Hospital, Irrua",Usugbenu-Irrua,,Esan Central,Edo,
1162,ED/0016,Irrua Specialist Hospital,Irrua,,Esan Central,Edo,
1163,ED/0020,Central Hospital,Uromi,"Gen. Med., Gen. Surgery, Physiotheraphy, Dental, Paediatric, O & G, Radiology.",Esan North East,Edo,
1164,ED/0021,"Central Hospital, Uromi",Uromi,,Esan North East,Edo,
1165,ED/0023,District Hospital,Ewohimi,"Gen. Med., Gen. Surgery",Esan South East,Edo,
1166,ED/0024,"General Hospital, Ubiaja",Ubiaja,,Esan South East,Edo,
1167,ED/0025,"District Hospital, Ewohinmi",Ewohimi,,Esan South East,Edo,
1168,ED/0026,"General Hospital, Iruekpen","Iruekpen, Along Benin Auchi Road",,Esan West,Edo,
1169,ED/0027,"General Hospital, Ekpoma",Ekpoma,,Esan West,Edo,
1170,ED/0028,General Hospital,"Iruekpen, Along Benin Auchi Road","Gen. Med., Gen. Surgery, Paediatric",Esan West,Edo,
1171,ED/0029,General Hospital,Ekpoma,"Gen. Medicine, Gen. Surgery",Esan West,Edo,
1172,ED/0030,General Hospital,Fugar,"Gen. Med., Gen. Surgery, Paediatric, O & G, Orthopaedic, Pharmacy, Laboratory",Etsako Central,Edo,
1173,ED/0031,District Hospital,Apana,General Medicine,Etsako Central,Edo,
1174,ED/0032,"General Hospital, Anegbette",Anegbette,,Etsako Central,Edo,
1175,ED/0033,"General Hospital, Agenebode",Agenebode,,Etsako East,Edo,
1176,ED/0034,General Hospital,Agenebode,"Gen. Med., Gen. Surgery, Paediatric, O & G, Orthopaedic, Pharmacy, Laboratory",Etsako East,Edo,
1177,ED/0035,"General Hospital, Agbede",Agbede,,Etsako West,Edo,
1178,ED/0036,"Central Hospital, Auchi",Auchi,,Etsako West,Edo,
1179,ED/0037,Fate Medical Centre,99 Jatt/Auchi Junction,,Etsako West,Edo,
1180,ED/0039,General Hospital,Agbede,"Gen. Med., Gen. Surgery, Paediatric, Laboratory, Pharmacy",Etsako West,Edo,
1181,ED/0040,Central Hospital,Auchi,"Gen. Med., Gen. Surgery, Physiotheraphy, Dental, Paediatric, O & G, Orthopaedic,",Etsako West,Edo,
1182,ED/0041,"General Hospital, Igueben",Igueben,,Igueben,Edo,
1183,ED/0042,General Hospital,Igueben,"Gen. Med., Gen. Surgery, Paediatric",Igueben,Edo,
1184,ED/0043,Narrow Way Clinic,"No.9, S. Ahahor Street, Off Benin-Auchi Expressway, Aduwawa",,Ikpoba/Okha,Edo,
1185,ED/0045,Cina Well Point Hospital,"16b Oviasogie Street, Theresa Cath. Church Road, New Benin",,Oredo,Edo,
1186,ED/0046,Oreste Medical Centre,"58 Akenzua Way, Benin City",,Oredo,Edo,
1187,ED/0047,Owen Clinic,"Upper Mission Road, Benin",,Oredo,Edo,
1188,ED/0049,Ekpen Hospital,"Off Agho Street, Off Ekwenwan Road",,Oredo,Edo,
1189,ED/0050,"Central Hospital, Benin","Along Sapele Road, Near Ring Road, Benin",,Oredo,Edo,
1190,ED/0051,Central Hospital,"Along Sapele Road, Near Ring Road, Benin","Gen. Med., Gen. Surgery, O & G, Pharmacy, Laboratory, Paediatric, Opthalmology, Dental",Oredo,Edo,
1191,ED/0052,Ekpen Hospital,Off Agbor Street,"Pharmacy, Laboratory",Oredo,Edo,
1192,ED/0054,Government Hospital,Urhioigbe Along Agbor Abraka Road,"Gen. Med., Gen. Surgery, Paediatric, Laboratory, Pharmacy",Orhionmwon,Edo,
1193,ED/0055,"General Hospital, Orhionmwom","Abudu Town, Orhionmwom",,Orhionmwon,Edo,
1194,ED/0057,"Government Hospital, Urhonigbe",Urhonigbe Along Agbor Abraka Road.,,Orhionmwon,Edo,
1195,ED/0058,General Hospital,"Abudu Town,","Gen. Med., Gen. Surgery, Paediatric, Laboratory, Pharmacy, O & G",Orhionmwon,Edo,
1196,ED/0059,Specialist Hospital,"Ossimomo, Agbor Road, Benin",Gen. Med.,Orhionmwon,Edo,
1197,ED/0060,District Hospital,Ekiadolor,"Gen. Med., Gen. Surgery",Ovia North East,Edo,
1198,ED/0061,Igbinedion Hospital & Med. Research,Okada Wonderland,,Ovia North East,Edo,
1199,ED/0062,"District Hospital, Ekiadolor",Ekiadolor,,Ovia North East,Edo,
1200,ED/0063,Igbinedion Hospital & Medical Research,Okada Wonderland,"Pharmacy, Laboratory",Ovia North East,Edo,
1201,ED/0064,General Hospital,Iguobazuwa,"Gen. Med., Gen. Surgery, Pharmacy, Laboratory, Paediatrics,",Ovia South West,Edo,
1202,ED/0065,"General Hospital, Iguobazuwa","Iguobazuwa Town, Hq Of Ovia South-West, LGA",,Ovia South West,Edo,
1203,ED/0066,"Government Hospital, Usen",Usen,,Ovia South West,Edo,
1204,ED/0067,Government Hospital,Usen,"Gen. Med., Gen. Surgery, Pharmacy, Laboratory, Paediatrics,",Ovia South West,Edo,
1205,ED/0069,General Hospital,Afuze,"Gen. Medicine, Gen. Surgery, Paediatric, Laboratory, Pharmacy",Owan East,Edo,
1206,ED/0070,District Hospital,Otuo,Gen. Medicine,Owan East,Edo,
1207,ED/0072,"Government Hospital, Uzeba",Uzeba,,Owan West,Edo,
1208,ED/0073,General Hospital,Sabongida-Ora,"Gen. Medicine, Gen. Surgery",Owan West,Edo,
1209,ED/0074,Government Hospital,Uzebba,"Gen. Medicine, Gen. Surgery, Paediatric, Laboratory, Pharmacy",Owan West,Edo,
1210,ED/0075,District Hospital,Egba,"Gen. Med., Gen. Surgery, Paediatric, Laboratory, Pharmacy",Uhunmwode,Edo,
1211,ED/0076,"District Hospital, Uhunmwode-Egba",Egba,,Uhunmwode,Edo,
1212,ED/0077,"Cottage Hospital, Obayanto","Obayantor, Along Sapele Road, New Benin Owena River Basin De",,Orhionmwon,Edo,
1213,ED/0079,"District Hospital, Apana",Apana,,Etsako Central,Edo,
1214,ED/0080,"General Hospital, Fugar",Fugar,,Etsako Central,Edo,
1215,ED/0082,St. Margaret's Hospital & Maternity,"No.1, St. Margaret's Hospital Drive, Upper Sakpoba Road, Ben",,Ikpoba/Okha,Edo,
1216,ED/0083,St. Mary's Hospital,"62, Textilie Mill Road",-,Egor,Edo,
1217,ED/0084,Azuwa Hospital,"2nd West East, Benin City",,Oredo,Edo,
1218,ED/0085,Modic Medical Centre,"No. 6 Akenzue Street, Ogbe, Benin City",,Oredo,Edo,
1219,ED/0086,Aiwuyor Memorial Clinic,"30a, Uwa Street, Off 2nd East Circular Road, Benin City",,Oredo,Edo,
1220,ED/0087,Urban Medical Centre,Warrake,,Owan West,Edo,
1221,ED/0088,Safe Haven Hospital,"No 11 Erhumuse, Ehaikpen Street",,Oredo,Edo,
1222,ED/0089,Ihenyen Medical Centre,"No. 22, Ogbefun Street, Off College Road, Benin City",,Oredo,Edo,
1223,ED/0090,Time Hospital,"3,2, Agbonma Lane, Off Ekwenwa Road, Benin City",,Oredo,Edo,
1224,ED/0091,God's Victory Clinic & Maternity,"15 Obayuwuna Street, Off Siluko Road, Benin City",,Oredo,Edo,
1225,ED/0092,"Government Hospital, Igbanke",Igbanke Along Uromi Road,,Esan North East,Edo,
1226,ED/0093,Cottage Hospital,Uben,"General Medicine, General Surgery",Uhunmwode,Edo,
1227,ED/0094,Psychiatric Hospital,Uselu,"Gen. Med, Gen. Surgery, Psychiatric",Egor,Edo,
1228,ED/0095,Josaf Pharmacy,"35 Sapele Road, Opp. Palm House",Pharmacy,Oredo,Edo,
1229,ED/0096,V. J. Essex Pharm,"138 Ekenuwan Road, Benin",Pharmacy,Oredo,Edo,
1230,ED/0097,Vamak Pharmacy,"66 Igbe Road, Auchi",Pharmacy,Etsako West,Edo,
1231,ED/0098,Cottage Hospital,"Obayanfor, Along Sapele Road, New Benin, Owena River Basin Dev.","Gen. Med., Gen. Surgery",Orhionmwon,Edo,
1232,ED/0099,Government Hospital,Igbanke Along Uromi Road,"Gen. Med., Gen. Surgery, Paediatric, Laboratory, Pharmacy",Esan North East,Edo,
1233,ED/0100,District Hospital,Usugbenu,Gen. Medicine,Esan Central,Edo,
1234,ED/0101,District Hospital,Ewu,"Gen. Medicine, Gen. Surgery",Esan West,Edo,
1235,ED/0102,Azuwa Hospital,2nd West East,"Physiotherapy, Ophthalmology, Laboratory",Oredo,Edo,
1236,ED/0103,Fortune Physiotherapy Clinic,"Ire Street, Off Wire Road, or I.C.E. Road, Benin City",Physiotherapy,Oredo,Edo,
1237,ED/0104,Horatio Dental Clinic,"No. 8, Akenzua Road, Off Plymouth, Benin City",Dental,Oredo,Edo,
1238,ED/0105,Dambel Physiotherapy,"25b, First Federal Rd, Off Okhoro",Physiotherapy,Oredo,Edo,
1239,ED/0106,Reovie Pharmaceuticals Ltd.,"No.1 Ihama Street, GRA, Benin city",Pharmacy,Oredo,Edo,
1240,ED/0107,Demaola Pharmaceuticals Ltd.,Benin,Pharmacy,Oredo,Edo,
1241,ED/0108,Viviski Pharmaceuticals Ltd.,Benin City,Pharmacy,Oredo,Edo,
1242,ED/0109,Coka Chemist Ltd.,Benin City,Pharmacy,Oredo,Edo,
1243,ED/0110,Dunamis Pharmaceuticals,"No.13, Sapele Road, Benin City",Pharmacy,Oredo,Edo,
1244,ED/0111,O.P.R.I. Medical Laboratory Services,"No. 31, Ikpoba Hill Road, Benin City",Laboratory,Oredo,Edo,
1245,ED/0112,Ekpen Hospital,"Off Agbor Street, Off Ekewan Road",Laboratory,Oredo,Edo,
1246,ED/0113,Urban Medical Centre,Warrake,Laboratory,Owan East,Edo,
1247,ED/0114,Iyare Clinic,"10, Second Adokpolor Street, Off Med. Stores Ltd, Benin",,Oredo,Edo,
1248,ED/0117,Madonna Clinic,Ibillo,,Akoko Edo,Edo,
1249,ED/0118,University Of Benin Teaching Hospital Ugbowo,Benin City,,Egor,Edo,
1250,ED/0119,DSS Clinic,"Benin, Edo State",,Oredo,Edo,
1251,ED/0120,"Military Hospital, Benin","Benin City, Edo State",,Oredo,Edo,
1252,ED/0121,81 AMG Medical Centre,"NAF Station, Benin",,Oredo,Edo,
1253,ED/0123,"Military Hospital, Benin","Benin, Edo State",,Esan Central,Edo,
1254,ED/0125,4 Bde MC Benin,"Benin, Edo State",,Oredo,Edo,
1255,ED/0126,NASEME MIR Auchi,"Auchi, Edo State",,Etsako West,Edo,
1256,ED/0127,University of Benin Health Centre,"Benin, Edo State",,Oredo,Edo,
1257,ED/0128,University of Benin Health Centre,"Benin, Edo State","Pharmacy, Laboratory",Oredo,Edo,
1258,ED/0129,Cottage Hospital/Comprehensive Health Centre,"Edo State Police Command, Edo State",,Esan Central,Edo,
1259,ED/0131,St. Mary Magdalene Hospital,"8 Isibor Street off 3rd East Corator Rd., Off Murtala Mohd Way, Benin City",,Owan East,Edo,
1260,ED/0132,Niger Clinic,"1 Ogbemudia Street, Behind Maria Filling Station Benin City",,Ikpoba/Okha,Edo,
1261,ED/0133,Ayunko Clinic & Maternity,"39 Fed. Govt. College Rd., Ibillo",,Akoko Edo,Edo,
1262,ED/0134,Hope Clinic & Maternity,"No. 1 Whytehouse Street, Jatau, Auchi, Edo State",,Etsako West,Edo,
1263,ED/0135,Faith Mediplex,"Igiwa-Amadi/Airport Road GRA, Benin City, Edo State",,Oredo,Edo,
1264,ED/0137,Shalom Clinic & Maternity,"11, Osarumwuense Street, Off Obuaza Street, Off S/Locko Road, Benin City",,Oredo,Edo,
1265,ED/0138,Osula Royal Hospital,"No.5 Idahosa Lane, Oredo LGA",Primary,Oredo,Edo,
1266,ED/0139,The Rock Hospital,"78B Ihama Road, GRA, Benin City",Primary,Oredo,Edo,
1267,ED/0142,Our Medical Centre,"No. 2 Oregbeni Street, Ikpoba Hill, Ikoba, Benin City",,Ikpoba/Okha,Edo,
1268,ED/0143,Lahor Research Lab. & Medical Centre,"121 Old Benin, Agbor Road, Benin City",,Ikpoba/Okha,Edo,
1269,ED/0144,St. Rapheal Hospital,"12, Adesua Road, Oredo LGA, Benin City",,Oredo,Edo,
1270,ED/0145,Aniso Specialist Medical Center,"No. 11 2nd Fed. Road, Off 4th Srt Road or Off Benin Technical Coal Rd, Uselu Ltd Benin City",,Egor,Edo,
1271,ED/0146,Lio-la Cross Hospital,1 Upper Wisdom Street Off 2nd East Road Benin,,Esan North East,Edo,
1272,ED/0147,Cystius Pharmacy,"8, Uwasota Road, Ugbowo, Benin City, Edo State",Pharmacy,Oredo,Edo,
1273,ED/0149,Tomsek Dental Clinic,"54B, Saponba Road, Benin City, Edo State",Dental,Oredo,Edo,
1274,ED/0150,Ayunko Clinic & Maternity,"39 Fed. Govt. College Road, Ibillo, Edo State",Ultrasound,Akoko Edo,Edo,
1275,ED/0151,Hope Clinic & Maternity,"No.1 Whytehouse Street, Jatau, Auchi, Edo State","Ultrasound, ECG",Etsako West,Edo,
1276,ED/0152,Faith Mediplex,Igiwa-Amadi/Airport Road GRA,"Internal medicine, Laboratory, Dental, Paediatrics, Pharmacy, O&G, Surgery, Radiology",Oredo,Edo,
1277,ED/0153,Our Medical Centre,"No. 2 Oregbemi Street, Ikpoba Hill, Edo State",Surgery,Ikpoba/Okha,Edo,
1278,ED/0154,St. Rapheal Hospital,"12 Adesua Road, Benin, Edo State","Paediatrics, Ophthalmology",Oredo,Edo,
1279,ED/0155,Lahor Research Lab. & Medical Centre,"121 Old Benin/Agbor Road, Edo State","Laboratory, Orthopaedics",Ikpoba/Okha,Edo,
1280,ED/0156,Day Jay Medical Diagnostic Laboratory,"150 Upper Mission Road, Benin City, Edo State",Laboratory,Oredo,Edo,
1281,ED/0157,Stalwart Eye Centre,"Mechatronic Plaza, 23 Ihama Road, GRA, Benin City, Edo State",Ophthalmology,Oredo,Edo,
1282,ED/0158,Gil Gal Dental Clinic,"No.7 Ihama Road GRA, Benin City, Edo State",Dental,Oredo,Edo,
1283,ED/0159,Narrow Way Clinic,"No. 9 S. Ahanon Street, Aduwawa, Benin City, Edo State",Laboratory,Ikpoba/Okha,Edo,
1284,ED/0160,Osula Royal Hospital,"No. 5 Idahosa Lane, Benin City, Edo State",O&G,Oredo,Edo,
1285,ED/0161,Alges Pharmacy Ltd,24 A Ugbowo Lagos Road,Pharmacy,Oredo,Edo,
1286,ED/0162,Lerit Pharmacy Ltd.,"No. 95A Sakponba Road, Benin City, Edo State",Pharmacy,Oredo,Edo,
1287,ED/0163,Minola Pharmacy & Sup. Ltd.,"64, Ihama Road GRA, Benin City, Edo State",Pharmacy,Oredo,Edo,
1288,ED/0164,"National Institute of Oil Palm Research, Edo","Ovia North LGA, Edo State",,Ovia North East,Edo,
1289,ED/0165,Akemekhai Medical Centre,"3, Oyerekhau Lane, Jattu, Esako West, Auchi, Edo State",,Etsako West,Edo,
1290,ED/0166,Akemekhai Medical Centre,"3, Oyerekhau Lane, Jattu, Esako West, Auchi, Edo State",Ultrasonography,Etsako West,Edo,
1291,ED/0167,Auchi Polytechnic Medical Centre,"Auchi, Edo State",,Etsako East,Edo,
1292,ED/0168,Hope Hospital & Maternity,"42, Costain Road, Benin, Edo State",,Oredo,Edo,
1293,ED/0169,Olive Chemist & Tech.,"209, Ugbowo-Lagos Road, Benin",Pharmacy,Egor,Edo,
1294,ED/0170,Radiance Clinic & Maternity,"Plot 194, Country Home Hotel Road, off Sapele Road, Benin City",,Oredo,Edo,
1295,ED/0171,Ogbeide Gen. Practice Clinic,"58, Uwa Str., off 2nd East Circular Road, Benin.",,Oredo,Edo,
1296,ED/0172,Morat Clinic,"5, Akugbe Str., Upper Siluko Road, Benin",,Egor,Edo,
1297,ED/0174,Christway Medical Centre,"31, Uwa Str., Off Murtala Mohammed Way, Benin",,Oredo,Edo,
1298,ED/0175,Royal Crown Clinic and Maternity,"7, Okhuowaruyi Street, Benin",,Ikpoba/Okha,Edo,
1299,ED/0176,"Hope Medical Centre, Igbueben","7 Suleman Street off sapele road, Benin City",,Igueben,Edo,
1300,ED/0177,Berta Medical Centre,"New Upper Mission RoadExtension, Aduwawa, Benin",,Ikpoba/Okha,Edo,
1301,ED/0178,Gift Medical Clinic,"6a, Iyamu Str., off Erie Str., Benin",,Oredo,Edo,
1302,ED/0179,Echos Hospital,"5, Benin Technical College Road, Benin",,Egor,Edo,
1303,ED/0180,Dekins First Trinity Medical Centre,"1, Bieni Avenue, off court road, Abudu, Benin",,Orhionmwon,Edo,
1304,ED/0181,Chisi Cottage Clinic,"PCU Quarters, by Asoro Hills, Ekenwa",,Oredo,Edo,
1305,ED/0182,Bamby Hospital,"147, Siluko Road, Benin",,Egor,Edo,
1306,ED/0183,St. Luke's Clinic & Maternity,"29, Ihumudumu Road, Ekpoma, Edo State",,Esan West,Edo,
1307,ED/0184,Irowa Medical Centre,"Jos-Bazuaye Est. off Sapele Road, Benin, Edo State",,Oredo,Edo,
1308,ED/0185,Aguan Daisee Pharmacy,"241b, Ugwowo-Lagos Road, Benin",Pharmacy,Egor,Edo,
1309,ED/0186,Aniso Spec. Medical Centre,"11, 2nd Federal Road, Uselu, Benin","Internal medicine, Laboratory",Egor,Edo,
1310,ED/0187,Care Pharmacy,"47, Ihama Road, GRA, Benin",Pharmacy,Oredo,Edo,
1311,ED/0188,Cedan Physiotherapy Centre,"12, Aiwerioba Avenue, Off Akenzua Street, Benin",Physiotherapy,Oredo,Edo,
1312,ED/0189,Echos Hospital,"5, Benin Technical College Road, Benin","Ophthalmology, Surgery",Egor,Edo,
1313,ED/0190,Elint Pharmacy,"59, Ugbowo-Lagos Road, Benin",Pharmacy,Egor,Edo,
1314,ED/0191,Gift Medical Clinic,"6a, Iyamu Str, off Erie Str., Benin",O&G,Oredo,Edo,
1315,ED/0192,Goodness Pharmacy,"270b, Ugbowo-Lagos Road, Benin",Pharmacy,Egor,Edo,
1316,ED/0193,"Hope Medical Centre, Igueben","Along Uromi-Agbor Road, Igueben, Benin",O&G,Igueben,Edo,
1317,ED/0194,Ihenyen Med. Centre,"4, Emide Drive, off Goodwill, Benin",Surgery,Oredo,Edo,
1318,ED/0195,JIMAH YUSUF PHARMACEUTICAL,"58, OTARU RD,AUCHI",Pharmacy,Etsako West,Edo,
1319,ED/0196,HOPE HOSPITAL AND MATERNITY,"42, COSTAIN ROAD ,BENIN",Surgery,Oredo,Edo,
1320,ED/0198,KRIS-O PHYSIOTHERAPY,"11,GOLF COURSE ROAD,GRA,BENIN",PHYSIOTHERAPY,Oredo,Edo,
1321,ED/0199,NEW GEN MEDICAL DIAGNOSTICS,"41,PLYMOUTH RD,BENIN",Laboratory,Oredo,Edo,
1322,ED/0200,NIGER OPTICALS,"52, MISSION ROAD,BENIN",OPTOMETRY,Oredo,Edo,
1323,ED/0201,OGBEIDE GENERAL PRACTICE CLINIC,"58,UWA STREET,OFF 2ND EAST CIRCULAR ROAD,BENIN","Surgery, USS",Oredo,Edo,
1324,ED/0202,OSKAJAY NIG. LTD,"88,FORESTRY ROAD,BENIN",Pharmacy,Oredo,Edo,
1325,ED/0203,SALAMI MEDICAL LABORATORY,"52 MISSION ROAD, BENIN",Laboratory,Oredo,Edo,
1326,ED/0204,PEARL DENTAL CLINIC,"SUITE 200,BIANCA PLAZA,PRECIOUS PALM ROYAL HOTEL,UGBOWO,BENIN",DENTAL,Egor,Edo,
1327,ED/0205,SYL-WRIGHT CHEMISTS,"1, BOUNDARY ROAD,BENIN",PHARMACY,Oredo,Edo,
1328,ED/0206,TIME HOSPITAL,"3, 2ND AGBONMA STREET,BENIN",Pharmacy & Lab.,Oredo,Edo,
1329,ED/0207,Edi International Hospital,Coronation Drive Off GRA Benin,O&G,Oredo,Edo,
1330,ED/0208,Orbiose Hospital,"2 Isibor Agbontan Street, Off Benin/Auchi Road Aduwawa",Laboratory,Ikpoba/Okha,Edo,
1331,ED/0209,Mayo's Eye Clinic,"32 Utoinwan Street, New Benin",Opthamology,Oredo,Edo,
1332,ED/0210,Private Dental Clinic,"48 Royal Market Road, Ekpoma",Dental Surgery,Esan West,Edo,
1333,ED/0211,Prime Optical and Eye Clinic,"41 Airport Road, Benin",Opthamology,Oredo,Edo,
1334,ED/0212,Private Dental Clinic,"48 Royal Market Road, Ekpoma",Dental,Esan West,Edo,
1335,ED/0214,"S & T MRS, Benin",Benin,,Oredo,Edo,
1336,ED/0215,"195 BN MRS, Agenebode",Agenebode,,Etsako East,Edo,
1337,ED/0216,Alafia Specialist Clinic & Maternity Home,"Auchi, Along Benin-Okene Road",General Surgery,Etsako West,Edo,
1338,ED/0217,St Philomina Catholic Hospital,"23 Dawson Road, off Mission Road, Benin City",,Oredo,Edo,
1339,ED/0218,Stella Obasanjo Women & Children Hospital,"Country Home, Hotel Road, Benin City",,Oredo,Edo,
1340,ED/0219,Christ Medical Centre,"18B Ogbesasa Street, Off Sapele Road, Off Sokponba Road, PO Box 3096, Benin",,Oredo,Edo,
1341,ED/0222,Irele Ifijeh Hospital Limited,"22 Lucky Igbinedion Way, Ikpoba Hill, Benin City",,Ikpoba/Okha,Edo,
1342,ED/0223,Ovbioise Hospital,"2 Isibor Aigbontaen Street, Aduwawa, Benin City",,Ikpoba/Okha,Edo,
1343,EK/0001,St.Gregory Hospital,"KM 2 Basiri Iyin Road, Ado Ekiti","Laboratory, USS, O & G, Pharmacy, General Surgery",Ado Ekiti,Ekiti,
1344,EK/0002,Olumorin Specialist Hospital,Ado-Ekiti,,Ado Ekiti,Ekiti,
1345,EK/0003,Ayobola Hospital,"22,Ekute Quarters Ado-Ekiti",,Ado Ekiti,Ekiti,
1346,EK/0004,Ade-Tade Hospital,"11, Okebola Street, Ado Ekiti",,Ado Ekiti,Ekiti,
1347,EK/0005,Orire Hospital Complex,"1, Orire Lane, Box 944, Ado Ekiti",,Ado Ekiti,Ekiti,
1348,EK/0006,"University Teaching Hospital, Ado Ekiti",Ado Ekiti,,Ado Ekiti,Ekiti,
1349,EK/0007,Federal Medical Centre,Ido Ekiti,,Ado Ekiti,Ekiti,
1350,EK/0008,Alafia Hospital,"Off State Housing Estate Rd., Off Adebayo Road, Ado Ekiti",,Ado Ekiti,Ekiti,
1351,EK/0009,Trinity Medical Centre,"Km 3, Iwokoro Rd., Ado Ekiti",,Ado Ekiti,Ekiti,
1352,EK/0010,Supreme Faith Hospital,Ado,,Ado Ekiti,Ekiti,
1353,EK/0011,Joe-Jane Medical Centre,"27 Dallimore Street, Ado Ekiti",,Ado Ekiti,Ekiti,
1354,EK/0012,Divine Citadel Hospital,"Coca Cola Bus Stop, Ajibosun Street, Ado Ekiti",,Ado Ekiti,Ekiti,
1355,EK/0013,State Specialist Hospital,Ijero-Ekiti,"Pharmacy, Laboratory",Ijero,Ekiti,
1356,EK/0014,State Specialist Hospital,Ikere-Ekiti,"Pharmacy, Laboratory",Ikere,Ekiti,
1357,EK/0015,Ade-Tade Hospital,"11, Okebola Street, Ado-Ekiti","E.C.G., Ultrasound, Laboratory",Ado Ekiti,Ekiti,
1358,EK/0016,State Specialist Hospital,Ado,"Pharmacy, Laboratory, Orthopaedic, Internal Medicine",Ado Ekiti,Ekiti,
1359,EK/0017,State Specialist Hospital,Ikere,"Pharmacy, Laboratory",Ikere,Ekiti,
1360,EK/0018,"Federal Medical Centre, Ido-Ekiti",Ido-Ekiti,"Pharmacy, Laboratory, Radiology",Ado Ekiti,Ekiti,
1361,EK/0019,State Specialist Hospital,Ikole Ekiti,"Pharmacy, Laboratory, Radiology, Physiotherapy",Ikole,Ekiti,
1362,EK/0020,Lanre & Lanre Pharmacy,No.10 Akin Akeju Shopping Complex Opp. State,Pharmacy,Ado Ekiti,Ekiti,
1363,EK/0021,Twin Pharmacy,"Fajuji Park, Ado-Ekiti",Pharmacy,Ado Ekiti,Ekiti,
1364,EK/0022,Ave Maria Pharmacy & Store,"State Hospital Rd., Ado Ekiti",Pharmacy,Ado Ekiti,Ekiti,
1365,EK/0023,Julie Pharmacy,Ado,Pharmacy,Ado Ekiti,Ekiti,
1366,EK/0024,Grace Medical Laboratories,Ado,Laboratory,Ado Ekiti,Ekiti,
1367,EK/0025,Orire Hospital Laboratories,Ado,Laboratory,Ado Ekiti,Ekiti,
1368,EK/0026,Joe-Jane Medical Lab.,"No.29, Dallimore Street, Ado Ekiti",Laboratory,Ado Ekiti,Ekiti,
1369,EK/0027,DSS Clinic,"Ado-Ekiti, Ekiti State",,Ado Ekiti,Ekiti,
1370,EK/0028,Comprehensive Health Centre,"Okesa, Ado Ekiti, Ekiti State",,Ado Ekiti,Ekiti,
1371,EK/0029,Adetoyin Hospital,"No. L16 Onigari, Secretariat Rd., Ado Ekiti",,Ado Ekiti,Ekiti,
1372,EK/0030,Joe-Jane Medical Centre,"27 Dallimore Street, Ado-Ekiti, Ekiti State",Plastic Surgery,Ado Ekiti,Ekiti,
1373,EK/0031,"Police Clinics, Ekiti",Ekiti State,,Ado Ekiti,Ekiti,
1374,EK/0032,Federal Polytechnic Health Centre,"Ado Ekiti, Ekiti State",Primary Provider,Ado Ekiti,Ekiti,
1375,EK/0033,VICTORY HOSPITAL,"2 AWEDELE STR, ADO-EKITI",,Ado Ekiti,Ekiti,
1376,EK/0034,STATE SPECIALIST HOSPITAL,IKOLE-EKITI,"O & G, Pharmacy, General Surgery",Ikole,Ekiti,
1377,EK/0035,UNIVERSITY OF ADO EKITI HEALTH CENTRE,MAIN CAMPUS,,Ado Ekiti,Ekiti,
1378,EK/0036,PRAISE THE LORD MEDICAL CENTRE,"7 ISATO STR, IRONA ADO EKITI",,Ado Ekiti,Ekiti,
1379,EK/0037,OGUNTOYE HOSPITAL,"136 ILAWE RD, ADO EKITI",,Ado Ekiti,Ekiti,
1380,EK/0038,Endoscopy De Gilead Specialist Hospital,"1, Gilead Lane, NTA Road, off Ilawe Road, Ado-Ekiti",,Ado Ekiti,Ekiti,
1381,EK/0040,J- SHALOM MEDICAL DIAG. LABORATORY,"L12 ORERE OWU STR, ADO EKITI",Laboratory,Ado Ekiti,Ekiti,
1382,EK/0041,OLUMORIN SPECIALIST HOSPITAL,"12 LITTLE BY LITTLE RD, OPP UNAD HEALTH CENTRE","O & G, Laboratory, Ultrasound",Ado Ekiti,Ekiti,
1383,EK/0042,RIGHTWAY EYE CLINIC,36 STATE HOSPITAL RD ADO EKITI,OPTOMETRY,Ado Ekiti,Ekiti,
1384,EK/0044,UNIVERSITY OF ADO EKITI HEALTH CENTRE,MAIN CAMPUS,"Laboratory, Pharmacy.",Ado Ekiti,Ekiti,
1385,EK/0045,"Folasade Clinic, Usi Ekiti","Irede Estate, Usi Ekiti",,Ido / Osi,Ekiti,
1386,EK/0046,"State Specialist Hospital, Ado Ekiti",Ado Ekiti,"Surgery, Radiodiagnostic, ENT, O&G, Paediatric, Physiotherapy",Ado Ekiti,Ekiti,
1387,EK/0047,Maria Assumptia Catholic Hospital,"Ireje Street, Ikere Road, Ado Ekiti",,Ado Ekiti,Ekiti,
1388,EK/0048,Afolabi Hospital,"Afolabi Hospital Close off Opopogbooro, Behind Mojere Mkt",,Ado Ekiti,Ekiti,
1389,EK/0049,Victory Hospital,"2 Awedele Street, Ado Ekiti",Surgery,Ado Ekiti,Ekiti,
1390,EK/0050,Adetoyin Hospital,"No. L16 Onigari, Secretariat Rd., Ado Ekiti",Ultrasound,Ado Ekiti,Ekiti,
1391,EK/0051,Maria Assumptia Catholic Hospital,"Ireje Street, Ikere Road, Ado Ekiti",O&G,Ado Ekiti,Ekiti,
1392,EK/0052,Sanya Clinic,"12 Bamgboye Street, Off Ikere Road, Ado Ekiti",,Ado Ekiti,Ekiti,
